word,current_avatar,upstream_sigml_filename_match
A,fingerspelling,yes_unreviewed
ABHA,fingerspelling,no
ABNORMAL,fingerspelling,no
ABOUT,fingerspelling,yes_unreviewed
ABOVE,fingerspelling,yes_unreviewed
ACCEPT,fingerspelling,yes_unreviewed
ACCESS,fingerspelling,yes_unreviewed
ACCESSIBILITY,fingerspelling,no
ACCOUNT,fingerspelling,no
ACROSS,fingerspelling,yes_unreviewed
ACTION,fingerspelling,no
ACTIONS,fingerspelling,no
ACTIVE,fingerspelling,yes_unreviewed
ADD,fingerspelling,yes_unreviewed
ADDED,fingerspelling,no
ADDITIONAL,fingerspelling,no
ADDRESS,fingerspelling,no
ADVICE,fingerspelling,yes_unreviewed
AFTER,fingerspelling,yes_unreviewed
AFTERNOON,fingerspelling,yes_unreviewed
AGGREGATING,fingerspelling,no
AI,fingerspelling,no
ALERTS,fingerspelling,no
ALL,fingerspelling,yes_unreviewed
ALLERGIES,fingerspelling,no
ALLERGY,fingerspelling,no
ALOUD,fingerspelling,no
ALWAYS,fingerspelling,yes_unreviewed
AN,fingerspelling,no
ANALYSIS,fingerspelling,no
ANALYZED,fingerspelling,no
ANALYZING,fingerspelling,no
AND,fingerspelling,no
ANSWER,fingerspelling,yes_unreviewed
ANY,fingerspelling,yes_unreviewed
ANYONE,fingerspelling,no
ANYTHING,fingerspelling,yes_unreviewed
APPEAR,fingerspelling,yes_unreviewed
APPLICATIONS,fingerspelling,no
APPOINTMENT,fingerspelling,yes_unreviewed
APPOINTMENTS,fingerspelling,no
APPROVED,fingerspelling,no
ARCHIVE,fingerspelling,no
ARE,fingerspelling,yes_unreviewed
ASK,fingerspelling,no
ASKING,fingerspelling,no
ASSESSMENT,fingerspelling,no
ASSESSMENTS,fingerspelling,no
ASSISTANCE,fingerspelling,no
ASSISTANT,fingerspelling,no
AT,fingerspelling,yes_unreviewed
ATTACH,fingerspelling,no
ATTACHED,fingerspelling,no
ATTENDING,fingerspelling,no
AUDIO,fingerspelling,no
AUTHORIZED,fingerspelling,no
AUTO,fingerspelling,no
AUTOMATICALLY,fingerspelling,no
AVAILABILITY,fingerspelling,no
AVAILABLE,fingerspelling,yes_unreviewed
BACK,fingerspelling,no
BASIC,fingerspelling,no
BE,fingerspelling,no
BED,fingerspelling,no
BEEN,fingerspelling,no
BEFORE,fingerspelling,yes_unreviewed
BEGIN,fingerspelling,yes_unreviewed
BEING,fingerspelling,no
BELOW,fingerspelling,yes_unreviewed
BETTER,fingerspelling,yes_unreviewed
BIGGER,fingerspelling,no
BIRTH,fingerspelling,no
BLOOD,fingerspelling,no
BOOK,fingerspelling,yes_unreviewed
BOOKED,fingerspelling,no
BOOKING,fingerspelling,no
BRIGHTER,fingerspelling,no
BROWSE,fingerspelling,no
BUILD,fingerspelling,yes_unreviewed
BUILDS,fingerspelling,no
BY,fingerspelling,no
CALENDAR,fingerspelling,no
CALL,fingerspelling,yes_unreviewed
CAMERA,fingerspelling,no
CAN,fingerspelling,yes_unreviewed
CANCEL,fingerspelling,yes_unreviewed
CANCELLED,fingerspelling,no
CAPTIONS,fingerspelling,no
CARDIOLOGY,fingerspelling,no
CARE,fingerspelling,no
CATEGORY,fingerspelling,no
CENTRE,fingerspelling,no
CHANGE,fingerspelling,no
CHANGES,fingerspelling,no
CHANNEL,fingerspelling,no
CHARGE,fingerspelling,no
CHAT,fingerspelling,no
CHATTING,fingerspelling,no
CHECK,fingerspelling,yes_unreviewed
CHECKUPS,fingerspelling,no
CHEST,fingerspelling,no
CHILLS,fingerspelling,no
CHOOSE,fingerspelling,no
CHOSEN,fingerspelling,no
CHRONOLOGICAL,fingerspelling,no
CHRONOLOGICALLY,fingerspelling,no
CLAIMS,fingerspelling,no
CLEAR,fingerspelling,no
CLEARLY,fingerspelling,no
CLICK,fingerspelling,yes_unreviewed
CLINIC,fingerspelling,yes_unreviewed
CLINICAL,fingerspelling,no
CLIPBOARD,fingerspelling,no
CLOSE,fingerspelling,yes_unreviewed
CLOSED,fingerspelling,no
CODE,fingerspelling,no
COLD,fingerspelling,no
COLLAPSE,fingerspelling,no
COMBINE,fingerspelling,no
COMFORT,fingerspelling,no
COMMUNICATION,fingerspelling,yes_unreviewed
COMMUNICATIONS,fingerspelling,no
COMPLETE,fingerspelling,no
COMPLETED,fingerspelling,no
COMPOSE,fingerspelling,no
CONCERN,fingerspelling,no
CONDITION,fingerspelling,no
CONDITIONS,fingerspelling,no
CONFIRM,fingerspelling,no
CONFIRMED,fingerspelling,no
CONNECT,fingerspelling,no
CONNECTED,fingerspelling,no
CONNECTING,fingerspelling,no
CONNECTION,fingerspelling,no
CONSULT,fingerspelling,no
CONSULTATION,fingerspelling,no
CONSULTATIONS,fingerspelling,no
CONSULTED,fingerspelling,no
CONTACT,fingerspelling,yes_unreviewed
CONTAIN,fingerspelling,no
CONTINUE,fingerspelling,yes_unreviewed
CONVERSATION,fingerspelling,no
CONVERSATIONS,fingerspelling,no
COPIED,fingerspelling,no
COPY,fingerspelling,yes_unreviewed
CORRESPONDENCE,fingerspelling,no
COUGH,fingerspelling,no
COUNT,fingerspelling,yes_unreviewed
CREATED,fingerspelling,no
CREATES,fingerspelling,no
CRITERIA,fingerspelling,no
CUES,fingerspelling,no
CURRENT,fingerspelling,no
CURRENTLY,fingerspelling,no
CUSTOMIZE,fingerspelling,no
DASHBOARD,fingerspelling,no
DATA,fingerspelling,no
DATE,fingerspelling,yes_unreviewed
DAY,fingerspelling,yes_unreviewed
DAYS,fingerspelling,no
DEFINITION,fingerspelling,no
DELETE,fingerspelling,yes_unreviewed
DERMATOLOGY,fingerspelling,no
DESCRIBE,fingerspelling,no
DESK,fingerspelling,yes_unreviewed
DETAILS,fingerspelling,no
DEVELOPMENT,fingerspelling,no
DIAGNOSES,fingerspelling,no
DIAGNOSIS,fingerspelling,no
DIFFERENT,fingerspelling,yes_unreviewed
DIGESTION,fingerspelling,no
DIGIT,fingerspelling,no
DIGITAL,fingerspelling,no
DIRECT,fingerspelling,no
DIRECTLY,fingerspelling,no
DIRECTORY,fingerspelling,no
DISCHARGE,fingerspelling,no
DISCLAIMER,fingerspelling,no
DISCOMFORT,fingerspelling,no
DISCONNECT,fingerspelling,no
DIZZINESS,fingerspelling,no
DO,fingerspelling,no
DOCTOR,fingerspelling,yes_unreviewed
DOCTORS,fingerspelling,no
DOCUMENT,fingerspelling,no
DOCUMENTS,fingerspelling,no
DOES,fingerspelling,no
DOWNLOAD,fingerspelling,no
DRAFTS,fingerspelling,no
DRAG,fingerspelling,no
DRINKING,fingerspelling,yes_unreviewed
DROP,fingerspelling,no
DRUGS,fingerspelling,no
DULL,fingerspelling,no
E,fingerspelling,yes_unreviewed
EDIT,fingerspelling,no
EDUCATIONAL,fingerspelling,no
EMAIL,fingerspelling,yes_unreviewed
EMERGENCY,fingerspelling,no
ENCRYPTED,fingerspelling,no
ENCRYPTION,fingerspelling,no
END,fingerspelling,no
ENDED,fingerspelling,no
ENERGY,fingerspelling,no
ENHANCED,fingerspelling,no
ENOUGH,fingerspelling,no
ENTER,fingerspelling,yes_unreviewed
EVENING,fingerspelling,yes_unreviewed
EVENTS,fingerspelling,no
EVERY,fingerspelling,yes_unreviewed
EXPAND,fingerspelling,no
EXPERIENCE,fingerspelling,yes_unreviewed
EXPIRED,fingerspelling,no
EXPIRES,fingerspelling,no
EXPLAIN,fingerspelling,no
EXPLORE,fingerspelling,no
EXTRACTED,fingerspelling,no
FAILED,fingerspelling,no
FEATURES,fingerspelling,no
FEMALE,fingerspelling,no
FEVER,fingerspelling,no
FEW,fingerspelling,yes_unreviewed
FILE,fingerspelling,no
FILES,fingerspelling,no
FILTER,fingerspelling,no
FILTERS,fingerspelling,no
FIND,fingerspelling,no
FINISH,fingerspelling,yes_unreviewed
FIRST,fingerspelling,no
FLAGS,fingerspelling,no
FOLDER,fingerspelling,no
FONT,fingerspelling,no
FOODS,fingerspelling,no
FOR,fingerspelling,no
FORMATS,fingerspelling,no
FOUND,fingerspelling,no
FRI,fingerspelling,no
FROM,fingerspelling,no
FRONT,fingerspelling,no
FULL,fingerspelling,no
G,fingerspelling,yes_unreviewed
GARGLES,fingerspelling,no
GENDER,fingerspelling,no
GENERAL,fingerspelling,no
GENERALLY,fingerspelling,no
GENERATE,fingerspelling,no
GENERATING,fingerspelling,no
GET,fingerspelling,yes_unreviewed
GOOD,fingerspelling,yes_unreviewed
GROUNDED,fingerspelling,no
GROUP,fingerspelling,no
GYNECOLOGY,fingerspelling,no
HAS,fingerspelling,no
HAVE,fingerspelling,no
HD,fingerspelling,no
HEADACHE,fingerspelling,no
HEALTH,fingerspelling,yes_unreviewed
HEALTHCARE,fingerspelling,no
HEALTHIER,fingerspelling,no
HELLO,fingerspelling,yes_unreviewed
HELP,fingerspelling,no
HELPS,fingerspelling,no
HEMOGLOBIN,fingerspelling,no
HERE,fingerspelling,no
HIGH,fingerspelling,no
HIGHLIGHTS,fingerspelling,no
HISTORY,fingerspelling,no
HOW,fingerspelling,yes_unreviewed
HYDRATED,fingerspelling,no
I,fingerspelling,yes_unreviewed
ID,fingerspelling,no
IDENTITY,fingerspelling,no
IF,fingerspelling,no
IMAGES,fingerspelling,no
IMPROVE,fingerspelling,yes_unreviewed
IN,fingerspelling,yes_unreviewed
INBOX,fingerspelling,no
INCREASE,fingerspelling,yes_unreviewed
INDIA,fingerspelling,no
INDIGESTION,fingerspelling,no
INDUSTRY,fingerspelling,no
INFORMATION,fingerspelling,no
INITIALIZING,fingerspelling,no
INITIATE,fingerspelling,no
INPUT,fingerspelling,no
INSIGHTS,fingerspelling,no
INSTANT,fingerspelling,no
INSTRUCTIONS,fingerspelling,no
INSURANCE,fingerspelling,no
INTAKE,fingerspelling,no
INTAKES,fingerspelling,no
INTEGRATION,fingerspelling,no
INTELLIGENCE,fingerspelling,no
INTERACTING,fingerspelling,no
INTERACTION,fingerspelling,no
INTERACTIVE,fingerspelling,no
INTERFACE,fingerspelling,no
INTO,fingerspelling,no
INVESTIGATION,fingerspelling,no
INVESTIGATIONS,fingerspelling,no
IS,fingerspelling,no
IT,fingerspelling,no
JOIN,fingerspelling,yes_unreviewed
JOINT,fingerspelling,no
JOURNEY,fingerspelling,no
JPEG,fingerspelling,no
JPG,fingerspelling,no
KEEP,fingerspelling,yes_unreviewed
KIOSK,fingerspelling,no
KNOWN,fingerspelling,no
LAB,fingerspelling,no
LABORATORY,fingerspelling,yes_unreviewed
LANGUAGE,fingerspelling,no
LARGER,fingerspelling,no
